# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20250401
# 終了日: 20260331
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
google / cpc,03,119537,111506,16013,10.720999465662452,0.7278355936659796,749203,151042,0.5106316209087131
google / cpc,02,106483,100133,13403,18.79211816122029,1.035000900619057,852019,217834,0.8385901045666126
google / organic,04,64167,59626,12841,60.335917923502436,0.7636045577041275,374484,5129,0.022930357902699636
google / organic,06,61230,56759,12991,61.32135993107562,0.741649546026907,373424,5486,0.026476240970243224
google / cpc,11,60797,56909,7758,19.815948973969377,0.9229600440800788,469738,106420,0.7083201148753568
google / organic,07,60332,55659,13096,64.54612434396448,0.78774727492935,381818,5174,0.025198492800430627
google / cpc,01,60285,55883,7355,20.665233898078306,0.9634058637587597,463097,111193,0.7609339198207088
google / organic,05,58846,54902,12372,61.768944035066525,0.7221771618893127,352155,5059,0.025799437416949973
google / organic,10,55201,51050,12699,71.41990260038592,0.8201966369567215,378110,4971,0.02710649637048608
google / cpc,10,52103,48971,5932,23.146940200108585,0.8795470410300162,387625,77177,0.6032149228263399
google / organic,09,51227,46226,11259,67.65232426416519,0.7758014190035177,323087,4197,0.024623884571814695
google / cpc,04,51223,48561,4638,24.660455568276024,0.7677549247957048,355266,59903,0.47700446093719157
google / cpc,12,50875,46673,7057,21.85146739455281,0.9425793468948617,390523,87173,0.6999262816042717
google / cpc,05,49477,47140,5218,23.640439793999835,0.8610316357393935,364502,72788,0.6036540505190877
google / organic,08,49086,44953,10885,66.68989496408851,0.7723045626271433,312029,3912,0.024411508282476024
google / organic,11,47484,42875,11138,68.25224126495068,0.7905941759205768,312695,4107,0.025376040396259923
google / organic,03,44547,41481,9040,55.215681368423446,0.7200373040966267,269071,3626,0.024588858813092827
google / organic,01,43842,40297,9500,63.91560557391445,0.7710581655997967,281733,4123,0.02696831742657084
google / organic,12,42987,39409,9638,63.393675440257525,0.7807233478507858,273995,4370,0.030794357129331568
google / organic,02,41952,38684,8935,61.461586810424016,0.7599719576463763,263948,3655,0.025286467146932265
google / cpc,06,39080,36563,4614,25.693419107156753,0.7741433425851469,269997,44001,0.4548779538792768
google / cpc,07,37687,34695,4763,25.80717681501974,0.8186457521957509,277773,49221,0.5192715747629664
google / cpc,09,37338,34696,4477,25.67210569327159,0.9185780441296649,277289,55862,0.6324434758921275
(direct) / (none),10,37309,32086,7827,94.62305389221557,0.9131192161132281,396245,6780,0.05944474686989657
(direct) / (none),11,30693,25753,6194,78.79228142302973,0.8402241304996518,306722,6933,0.06515035973608302
(direct) / (none),12,30035,25303,5171,72.26402383289889,0.7883814617962693,301208,10970,0.10586004942618234
(direct) / (none),09,29195,24277,6354,97.38445458662858,0.9615719611190467,318286,4770,0.04929798278925548
(direct) / (none),07,29031,24230,6772,110.83569196193419,1.013484566492257,331831,5859,0.055518488604838996
google / cpc,08,26939,24746,3644,26.02752813231629,0.835095536590892,200173,36678,0.5564534400725021
(direct) / (none),08,25814,21436,6013,99.89210797118658,0.9342199002612206,284185,4718,0.05204622813266841
(direct) / (none),03,25080,21786,4477,68.54916067146283,0.7849855708653416,258970,8405,0.11681502255822461
(direct) / (none),02,24512,20965,4969,77.00768400066457,0.8458215650440273,246037,7295,0.0846486127263665
(direct) / (none),04,23850,19860,5288,141.4187829215023,0.9397884458909682,264530,7318,0.08475011776797567
(direct) / (none),06,23552,19752,5564,105.9575318077207,1.0935342394372314,277847,6496,0.0721698727691172
(direct) / (none),05,23040,19690,5210,99.59304131717924,1.0378555895797275,268613,6735,0.0752673856122132
(direct) / (none),01,22949,19510,4909,77.51165687844812,0.852954262324257,238147,7410,0.08827193450791956
Facebook / banner,02,19896,18865,2512,6.44500311009745,0.6520837652913125,123985,9057,0.1521356002488078
yahoo / organic,04,16491,15980,2039,67.7659976819374,0.7498932471176721,76680,450,0.009577258585981822
yahoo / organic,05,14747,14270,1926,64.89931880108992,0.7401907356948229,68768,421,0.00994550408719346
yahoo / organic,06,14636,14158,1931,65.77119228118539,0.7334941419710544,68113,370,0.009028256374913852
yahoo / organic,07,14486,13871,1858,65.09295696308142,0.7453243412361816,68358,339,0.008412709448654661
bing / cpc,07,13604,12167,2979,69.26546506453049,0.7532265242545616,88536,1862,0.0439845720219552
yahoo / organic,10,13579,13020,1697,67.52704002367389,0.7653325442035954,65743,297,0.008729747725086928
bing / cpc,06,12726,11495,2874,69.03083386176284,0.7568167406467977,84285,1902,0.04589410272669626
bing / cpc,04,12424,11301,2525,64.10921362934049,0.7200943319508823,77124,1773,0.04675937220460275
bing / cpc,12,12368,11222,2566,62.16194762684125,0.7163666121112929,78940,1783,0.04492635024549918
yahoo / organic,09,12340,11880,1588,67.6707078925956,0.7432872253864931,58497,284,0.00854353132628153
yahoo / cpc,06,12310,11645,1409,42.70454360061995,0.5962965984174892,66304,1600,0.051961823966065745
bing / cpc,11,12085,10910,2601,67.77210827168797,0.7398285137861466,79968,1690,0.04774714189643578
