# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20240401
# 終了日: 20250331
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
google / organic,05,91187,86647,16358,57.682976882459954,0.6863380219195101,479678,5100,0.016561654168700358
google / organic,04,91114,87331,16042,55.27937930499019,0.6713178122608339,473813,4668,0.015173530618809411
google / cpc,02,88785,86619,8888,26.226232334459997,0.7296803756550144,600449,82121,0.3767552117596352
google / organic,06,88240,81961,15931,55.540497441663035,0.672578757772526,466077,5486,0.017667439139113873
google / organic,07,87774,82353,16561,52.391166645475245,0.6577277403396021,474677,5234,0.018667714678718805
google / organic,10,79090,73859,16229,64.43586654190753,0.7699603932476256,485543,4846,0.01859851058102721
google / organic,11,69281,64348,13940,60.95212050307107,0.7315589353612167,398444,4838,0.019508628253875403
google / cpc,04,65961,63778,3740,17.416711081332135,0.24130107052033684,295359,6745,0.03572461892217028
google / cpc,08,65591,63238,5700,18.721274088133104,0.3807570446787994,326062,17249,0.10224541961948785
google / organic,08,65472,60185,12950,54.28974223766246,0.691879400725829,363609,4593,0.019867241539749992
google / organic,03,64416,59898,12292,56.986225244797076,0.718302320455905,356110,4459,0.020323667390825226
google / organic,09,64254,59081,12777,58.32666140489345,0.6924704025256512,371124,4471,0.021057616416732438
google / organic,01,63902,60397,12308,87.07246055383055,0.7394018123059375,362072,4504,0.0209270641911159
google / organic,02,62654,57996,12095,59.769296796553625,0.723593431153435,354407,5207,0.02051954782496032
google / cpc,01,61427,58452,7218,31.62489095188715,0.7835168633647721,442843,59280,0.38755287804717464
google / organic,12,61302,56806,11993,59.03008066787034,0.7267893525036856,343085,4403,0.021235361348992066
google / cpc,11,60559,57828,5995,33.030058785325316,0.7074555779446785,412772,52779,0.36331995536978134
google / cpc,03,55631,51477,7363,33.84456384670212,0.8570462561909461,411664,59642,0.4311457133980299
google / cpc,09,55190,52822,5533,27.953700989373395,0.7225174056430927,366523,55094,0.4283803591058996
google / cpc,10,54923,52444,6175,31.9593167416659,0.6802277527780328,364351,39000,0.2884011387638902
google / cpc,12,53415,50207,5188,37.67793466328501,0.6523640080251353,350246,36363,0.28712571450202523
google / cpc,05,49566,47740,4028,21.97834785611277,0.34799829382731096,243837,7953,0.056811488229439606
(direct) / (none),10,47224,40488,11980,120.39499914074584,1.0355946038838288,592056,8792,0.052478948272899124
google / cpc,07,41665,39280,4578,27.973733901423454,0.44146412317226685,223601,9328,0.08003292340466737
(direct) / (none),09,39381,33507,9063,113.84267952950887,0.9379127115146513,461749,9679,0.0660338423442014
google / cpc,06,38697,36628,4222,29.30206594323873,0.4475688647746244,217698,10426,0.0983931552587646
