# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20220401
# 終了日: 20230331
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
google / cpc,08,12135,11470,1040,15.272848454553028,0.3134216445888528,52318,0,0
google / organic,02,11061,9688,2358,54.29646993932708,0.6121529692958264,51747,0,0
google / organic,01,10961,9773,2414,51.556848619192756,0.597395400387919,51228,0,0
google / organic,11,10713,9379,2483,57.38386700670634,0.6094266553320109,53536,0,0
google / cpc,03,10238,9367,1173,17.0631350498175,0.4244845615073493,42948,0,0
google / cpc,02,9879,9056,974,18.412531839021906,0.447682119205298,41722,0,0
google / organic,12,9493,8335,2253,56.46575488834277,0.6229298001923282,48034,0,0
google / organic,10,9400,8048,2335,57.59131090987495,0.627533419577404,47965,0,0
google / organic,03,9162,7827,2195,54.11597738108438,0.6159219425656947,44182,0,0
google / organic,09,8440,7207,2202,61.775909691365435,0.6418878347544134,44742,0,0
google / cpc,12,8292,7662,807,16.00974302764584,0.40165631469979296,34588,0,0
google / cpc,09,6860,6017,1003,26.692847543676272,0.4861878453038674,31565,0,0
google / cpc,11,6406,5676,772,21.273927392739274,0.4666038032374666,27909,0,0
google / cpc,01,6291,5669,759,22.136443521329287,0.4532672950950631,27762,0,0
google / cpc,10,4944,4301,673,40.5070480081716,0.5062308478038815,22302,0,0
google / organic,08,4764,3877,1238,63.08006009873363,0.39386134363597336,24434,0,0
bing / organic,10,2411,2049,689,74.17157275021026,0.7405382674516401,13057,0,0
bing / organic,09,2322,1976,695,67.80349344978166,0.7344978165938865,12537,0,0
(direct) / (none),03,2210,1254,864,69.42271442035815,0.7483506126295947,15854,0,0
(direct) / (none),02,2181,1181,875,70.05534351145039,0.7118320610687023,16757,0,0
bing / organic,11,2135,1779,648,72.07312440645774,0.7226970560303894,11283,0,0
(direct) / (none),01,2106,1201,810,65.14010853478047,0.629995066600888,13279,0,0
(direct) / (none),12,2076,1187,796,79.53502235469449,0.7382016890213612,19283,0,0
(direct) / (none),11,2009,1125,843,68.75463917525774,0.6917525773195876,14614,0,0
bing / organic,01,1983,1647,580,73.71062083119548,0.70702924576706,9901,0,0
yahoo / organic,02,1890,1787,251,66.47527910685805,0.6687931951089846,8387,0,0
(direct) / (none),10,1874,960,905,64.40121412803532,0.6285871964679912,12256,0,0
(direct) / (none),09,1834,1019,811,57.55840455840456,0.67008547008547,12143,0,0
yahoo / organic,01,1825,1721,255,65.83904867256638,0.6603982300884956,8109,0,0
bing / organic,12,1786,1511,547,67.72716959727737,0.7050482132728304,9486,0,0
bing / organic,02,1774,1451,543,73.43348623853211,0.698394495412844,8908,0,0
bing / organic,03,1762,1430,554,75.9573978123201,0.7466896948762234,9376,0,0
yahoo / organic,11,1673,1583,263,73.88507821901324,0.710589651022864,7769,0,0
yahoo / organic,03,1614,1520,209,67.27028714107365,0.66167290886392,7196,0,0
yahoo / organic,10,1580,1479,253,67.01462174189447,0.6795931341385887,7525,0,0
(direct) / (none),08,1519,938,490,62.43004115226338,0.4773662551440329,10797,0,0
yahoo / organic,12,1471,1401,191,64.82328767123288,0.6287671232876713,6540,0,0
yahoo / organic,09,1400,1306,200,67.76657060518733,0.6628242074927954,6416,0,0
bing / organic,08,1271,1019,382,76.63555913113436,0.4432823813354787,6980,0,0
yahoo / cpc,02,1079,692,392,62.81809523809524,0.7142857142857143,6006,0,0
yahoo / cpc,01,1071,758,385,76.25837320574162,0.7722488038277512,6313,0,0
yahoo / cpc,03,957,588,376,78.65625,0.7758620689655172,5726,0,0
yahoo / organic,08,835,767,119,68.71151515151516,0.4412121212121212,3954,0,0
yahoo / cpc,10,797,541,319,90.89016602809706,0.7828863346104725,5404,0,0
yahoo / cpc,09,779,587,272,80.89425587467363,0.7819843342036553,4971,0,0
yahoo / cpc,12,713,406,295,80.61945636623749,0.6824034334763949,4057,0,0
yahoo / cpc,11,666,389,271,87.23809523809524,0.717357910906298,4183,0,0
WA / email,03,414,257,179,107.00995024875621,0.7611940298507462,2178,0,0
yahoo / cpc,08,387,258,139,88.7007874015748,0.49868766404199477,2649,0,0
yrmk / display,08,383,335,38,10.88795518207283,0.12044817927170869,1398,0,0
WA / email,02,339,143,167,86.45652173913044,0.6521739130434783,1718,0,0
ydsa / cpc,09,281,247,55,48.67985611510792,0.6906474820143885,1510,0,0
yrmk / display,09,267,224,33,6.266129032258065,0.15725806451612903,928,0,0
ydsa / cpc,10,177,152,42,56.36158192090395,0.6666666666666666,1022,0,0
WA / email,01,175,34,103,74.31927710843374,0.5783132530120482,1045,0,0
WA / email,12,150,26,114,95.73793103448276,0.9724137931034482,1184,0,0
WA / email,10,149,1,135,97.7972027972028,0.7552447552447552,1425,0,0
ydsa / cpc,08,146,134,25,41.6986301369863,0.3972602739726027,787,0,0
yrmk / display,12,144,134,11,6.942028985507246,0.12318840579710146,502,0,0
WA / email,09,141,3,116,78.72932330827068,0.7894736842105263,900,0,0
WA / email,11,125,1,112,139.3388429752066,0.8264462809917356,952,0,0
yrmk / display,11,125,115,6,6.890756302521009,0.10084033613445378,423,0,0
yrmk / display,02,114,106,7,8.08108108108108,0.17117117117117117,386,0,0
yrmk / display,03,112,104,8,3.7363636363636363,0.16363636363636364,379,0,0
ydn / display,08,97,96,5,5.729166666666667,0.07291666666666667,330,0,0
yrmk / display,10,96,93,7,5.842105263157895,0.1368421052631579,349,0,0
ydsa / cpc,01,94,71,28,69.17021276595744,0.9361702127659575,588,0,0
ydsa / cpc,11,93,64,30,45.70652173913044,0.6630434782608695,530,0,0
ydsa / cpc,03,86,56,27,95.50602409638554,0.6867469879518072,544,0,0
WA / email,08,77,1,57,97.58666666666667,0.4533333333333333,603,0,0
ydn / display,09,69,67,4,4.529411764705882,0.07352941176470588,249,0,0
ydsa / cpc,12,68,51,23,63.205882352941174,0.7794117647058824,404,0,0
ydsa / cpc,02,64,44,19,93.984375,0.75,437,0,0
ps.nikkei.com / referral,03,62,61,11,55.483870967741936,0.7580645161290323,351,0,0
yrmk / display,01,61,56,3,6.11864406779661,0.1016949152542373,209,0,0
visitor.it-week.rxmesse.jp / referral,12,56,48,16,56.44642857142857,0.8214285714285714,350,0,0
service.smt.docomo.ne.jp / referral,01,48,45,6,66.53191489361703,0.574468085106383,201,0,0
service.smt.docomo.ne.jp / referral,02,42,42,3,24.30952380952381,0.30952380952380953,153,0,0
service.smt.docomo.ne.jp / referral,12,38,36,2,48.891891891891895,0.5675675675675675,146,0,0
service.smt.docomo.ne.jp / referral,10,36,36,2,52.77777777777778,0.5,133,0,0
service.smt.docomo.ne.jp / referral,11,36,36,3,70.38888888888889,0.5277777777777778,158,0,0
hitachigroup.okta.com / referral,11,34,17,17,88.2258064516129,0.9354838709677419,261,0,0
