# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20250401
# 終了日: 20260331
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
google / organic,06,10686,9325,2458,49.36079626631108,0.681398228402705,50551,0,0
google / organic,05,10541,9446,2369,51.432890429424226,0.6827460042364721,50690,0,0
google / organic,04,9640,8470,2181,49.72590170850032,0.6948955916473318,45648,0,0
google / organic,07,9491,8260,2328,49.08925123364085,0.6943788886505042,46173,0,0
google / organic,10,7340,6189,1942,53.2271021542738,0.7256428075052119,36613,0,0
google / organic,08,6881,5891,1742,53.62325512325512,0.6978021978021978,33641,0,0
google / organic,09,6538,5628,1660,56.2286428236764,0.7138841168202406,31999,0,0
google / organic,11,6406,5433,1696,51.32670273711012,0.7135582431572247,31591,0,0
google / organic,12,5887,4873,1588,50.96260219168551,0.7276048008349278,30325,0,0
google / cpc,02,5810,3547,1597,20.96042899408284,0.6113165680473372,25277,0,0
google / organic,01,5805,4893,1547,54.29460217315107,0.7437784787942516,30628,0,0
google / organic,02,5049,4219,1375,53.98018200202225,0.7551061678463094,26817,0,0
google / organic,03,4259,3464,1197,51.21021093000959,0.7567114093959731,22586,0,0
(direct) / (none),06,2115,1219,821,55.00542941757157,0.8928923988153998,11885,0,0
bing / cpc,03,2085,1747,552,48.61167883211679,0.6822384428223844,11889,0,0
(direct) / (none),12,2019,997,878,111.18280123583934,1.0329557157569516,19989,0,0
(direct) / (none),07,1971,985,878,55.731319554848966,0.8924218335983042,11065,0,0
bing / cpc,02,1965,1636,520,48.25451729478575,0.7134744450180692,10986,0,0
bing / cpc,12,1946,1535,568,45.80378748027354,0.7233035244608101,10618,0,0
bing / cpc,01,1879,1561,505,48.8851570964247,0.7031419284940412,10871,0,0
(direct) / (none),10,1861,918,885,65.68868980963046,0.9546472564389697,13402,0,0
(direct) / (none),05,1830,1019,733,61.99315068493151,0.9155251141552512,10854,0,0
google / cpc,01,1804,1560,395,40.399325084364456,0.6670416197975253,10286,0,0
bing / cpc,06,1803,1368,582,56.52461799660441,0.7809847198641766,9855,0,0
google / cpc,05,1778,1436,515,47.84326200115674,0.6564488143435512,9684,0,0
yahoo / organic,05,1778,1681,258,57.48472850678733,0.6838235294117647,7839,0,0
yahoo / cpc,08,1754,1590,324,39.13578826237054,0.6294591484464902,9093,0,0
(direct) / (none),03,1743,1027,653,42.77275431290898,0.8322427126710291,9866,0,0
yahoo / organic,06,1740,1641,249,58.906720741599074,0.6981460023174971,7620,0,0
yahoo / organic,04,1737,1656,234,59.201276102088165,0.6943155452436195,7770,0,0
(direct) / (none),11,1735,857,747,49.99757428744694,0.8999393571861735,10374,0,0
(direct) / (none),01,1708,819,820,62.56329497274379,0.9981829194427619,12729,0,0
bing / cpc,10,1690,1289,519,50.01090909090909,0.7660606060606061,9189,0,0
bing / cpc,11,1652,1234,500,50.62880198634389,0.7548106765983861,8871,0,0
(direct) / (none),04,1651,810,769,72.04240506329114,1.020886075949367,10427,0,0
yahoo / cpc,10,1635,1451,332,41.884328358208954,0.6044776119402985,8584,0,0
(direct) / (none),09,1622,826,728,53.479947403024326,0.8731097961867192,8860,0,0
yahoo / organic,07,1597,1512,230,54.9471032745592,0.6819899244332494,7179,0,0
google / cpc,04,1555,1182,471,54.59183673469388,0.8341013824884793,9066,0,0
yahoo / cpc,06,1539,1332,319,42.93586387434555,0.6695026178010471,7855,0,0
yahoo / cpc,07,1513,1315,346,45.49798657718121,0.6818791946308724,8121,0,0
(direct) / (none),08,1511,774,673,53.803608605135324,0.9340735600277585,8540,0,0
yahoo / cpc,11,1464,1249,284,40.387163561076605,0.63216011042098,7157,0,0
bing / cpc,07,1449,1056,497,56.9002108222066,0.8116654954321855,8309,0,0
(direct) / (none),02,1447,711,676,55.10698689956332,0.9650655021834061,9169,0,0
google / cpc,03,1381,1060,367,44.91868647380766,0.6856919468334637,7588,0,0
google / cpc,06,1373,1058,374,37.684330052990155,0.5889477668433005,6869,0,0
yahoo / cpc,02,1372,1231,212,36.37195571955719,0.592619926199262,6964,0,0
google / cpc,07,1343,1051,408,54.96699923254029,0.7613200306983884,7933,0,0
bing / organic,05,1337,1006,510,66.7432536622976,0.8766383962991519,7475,0,0
yahoo / cpc,09,1335,1171,289,38.21232876712329,0.649923896499239,6731,0,0
google / cpc,12,1324,1075,400,52.429555895865235,0.8621745788667687,8171,0,0
bing / organic,07,1308,896,543,59.530386740331494,0.9029202841357538,7346,0,0
yahoo / cpc,01,1282,1127,222,40.932753164556964,0.632120253164557,6748,0,0
bing / organic,06,1257,867,512,77.23727422003284,0.922824302134647,7200,0,0
google / cpc,10,1209,958,392,55.292598967297764,0.8098106712564543,7453,0,0
yahoo / organic,08,1142,1068,185,59.70442477876106,0.7132743362831858,5197,0,0
yahoo / cpc,12,1126,953,260,44.962196219621966,0.6417641764176417,5924,0,0
bing / organic,04,1110,805,409,81.39351851851852,0.8833333333333333,6340,0,0
bing / cpc,09,1105,799,354,49.401119402985074,0.7546641791044776,5742,0,0
bing / organic,09,1074,767,438,71.81704980842912,0.8639846743295019,5790,0,0
bing / organic,10,1069,715,435,71.62873674059787,0.8997107039537127,6005,0,0
yahoo / organic,10,1060,995,170,56.06060606060606,0.7301136363636364,4954,0,0
bing / cpc,04,1044,707,365,69.14243027888446,0.8894422310756972,5683,0,0
google / cpc,08,1040,825,310,43.84653465346535,0.7336633663366336,5883,0,0
yahoo / organic,09,959,900,158,67.44258872651356,0.7014613778705637,4334,0,0
yahoo / organic,11,950,883,166,65.21353065539112,0.7283298097251586,4530,0,0
bing / organic,08,943,642,374,70.6742671009772,0.9022801302931596,5277,0,0
Facebook / banner,02,917,621,201,7.845579078455791,0.5765877957658779,3738,0,0
yahoo / organic,01,902,843,143,60.2248322147651,0.7203579418344519,4247,0,0
google / cpc,11,899,641,321,58.01392111368909,0.9002320185614849,5411,0,0
bing / cpc,08,892,631,299,54.43321718931475,0.7607433217189314,4637,0,0
bing / cpc,05,891,565,376,71.57852193995382,0.871824480369515,5201,0,0
yahoo / organic,12,835,753,159,57.08262454434994,0.7059538274605103,3908,0,0
bing / organic,11,833,505,362,68.1620253164557,0.9544303797468354,4741,0,0
bing / organic,12,814,509,372,63.88874841972187,0.9165613147914032,4646,0,0
google / cpc,09,781,559,257,57.753661784287615,0.8242343541944075,4633,0,0
yahoo / organic,02,736,677,119,60.42739726027397,0.7561643835616438,3496,0,0
bing / organic,01,712,442,335,64.65701881331404,0.9247467438494935,4328,0,0
bing / organic,02,701,446,300,67.70518518518519,0.9348148148148148,3999,0,0
yahoo / cpc,03,674,556,168,49.54204204204204,0.6981981981981982,3756,0,0
bing / organic,03,621,365,265,66.23400673400674,0.9377104377104377,3538,0,0
yahoo / cpc,05,612,446,164,59.013422818791945,0.8087248322147651,3220,0,0
yahoo / organic,03,609,561,99,57.49419568822554,0.7396351575456053,2900,0,0
yahoo / cpc,04,498,337,175,63.57905544147844,0.8850102669404517,2825,0,0
ydsa / cpc,05,292,262,76,72.60763888888889,0.8402777777777778,1827,0,0
WA / email,10,289,81,171,81.41044776119404,1.0671641791044777,1675,0,0
ydsa / cpc,04,268,245,65,59.375,0.7803030303030303,1696,0,0
ydsa / cpc,10,242,202,65,38.74576271186441,0.7330508474576272,1339,0,0
Facebook / banner,03,234,160,38,5.984924623115578,0.49748743718592964,860,0,0
WA / email,04,220,129,101,84.8388625592417,0.8388625592417062,1177,0,0
WA / email,05,218,115,88,73.62085308056872,0.8672985781990521,1081,0,0
WA / email,11,218,34,147,64.52216748768473,1.0738916256157636,1307,0,0
WA / email,12,217,67,113,62.085427135678394,0.9396984924623115,1192,0,0
WA / email,07,216,65,120,88.92788461538461,1.0048076923076923,1185,0,0
WA / email,06,208,86,97,59.914572864321606,0.8542713567839196,1051,0,0
WA / email,09,205,43,145,62.86734693877551,0.9183673469387755,985,0,0
