# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20240401
# 終了日: 20250331
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
google / organic,06,15610,14080,3140,47.88753956462761,0.6410438602157483,72090,0,0
google / organic,05,15162,13681,3013,51.82094122345737,0.6535312520801437,69335,0,0
google / organic,07,14906,13673,3170,48.54968100990905,0.6255599294149586,69394,0,0
google / organic,10,14039,12662,2944,49.874504433071436,0.6550854177178692,64728,0,0
google / organic,11,12475,11137,2690,50.92116182572614,0.6570661459604589,57623,0,0
google / organic,04,11245,10151,2556,51.03999640481754,0.6819162322487866,52762,0,0
google / organic,01,11185,10048,2388,52.530467899891185,0.6306673920928546,51702,0,0
google / organic,09,11089,9888,2494,48.86785353767092,0.6582545654767367,51509,0,0
google / organic,08,10679,9578,2368,48.10676562946046,0.6414501855552384,49506,0,0
google / organic,12,10477,9230,2302,49.682516530532865,0.6552897705173084,48251,0,0
google / organic,02,10275,9131,2227,52.10500791765637,0.6695368171021377,47468,0,0
google / organic,03,9429,8333,2134,49.28114877996113,0.6970416756640034,44479,0,0
google / cpc,06,5379,4624,921,31.27629099133057,0.637203166226913,26696,0,0
google / cpc,05,4160,3442,879,37.043838285435946,0.6429615197272285,21004,0,0
google / cpc,08,4045,3488,771,33.72579434575932,0.608206154615962,19931,0,0
google / cpc,12,3628,3137,652,58.56659205372132,0.7548964745383324,19146,0,0
google / cpc,07,3042,2415,695,37.556226921785836,0.6777442094662638,15496,0,0
google / cpc,11,2828,2269,787,54.51390393643915,0.7367280606717227,15692,0,0
google / cpc,09,2757,2193,706,49.79664804469274,0.6741154562383612,14118,0,0
yahoo / organic,05,2601,2486,355,59.02705836876691,0.6857363741785852,11548,0,0
yahoo / organic,06,2486,2358,349,59.9177471636953,0.6896272285251216,10937,0,0
google / cpc,04,2468,1768,785,58.00456810631229,0.856312292358804,14516,0,0
(direct) / (none),10,2345,1158,1056,60.896907216494846,0.9569699686239355,13390,0,0
(direct) / (none),07,2312,1142,968,94.06207521522428,0.9800634345265066,15062,0,0
(direct) / (none),04,2297,1167,1009,75.01826484018265,0.9867579908675799,13981,0,0
(direct) / (none),05,2291,1210,1026,60.68425883432767,0.9779715465810005,13644,0,0
google / cpc,10,2291,1781,705,54.358583594800535,0.7364410578216046,13280,0,0
yahoo / organic,07,2288,2186,316,66.15773286467487,0.7038664323374341,10110,0,0
(direct) / (none),06,2203,1132,992,67.03705463182898,1.0232779097387172,14455,0,0
