# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20260401
# 終了日: 20260430
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
boxil / banner,04,4,4,0,21.25,0.75,19,0,0
cn.bing.com / referral,04,4,3,2,30,0.75,25,0,0
i-reporter.jp / referral,04,4,0,4,84.75,1,38,0,0
kids.yahoo.co.jp / referral,04,4,4,0,29.5,0.75,15,0,0
qiita.com / referral,04,4,3,2,34,0.75,22,0,0
websearch.rakuten.co.jp / referral,04,4,3,3,48.5,0.5,16,0,0
ydn / display,04,4,0,4,22.25,1,27,0,0
yrmk / display,04,4,0,3,1.6666666666666667,0.3333333333333333,17,0,0
ad / external,04,3,3,0,53,0.3333333333333333,10,0,0
bi.lakeel.com / referral,04,3,3,1,45,0.6666666666666666,21,0,0
chatgpt.com / (not set),04,3,2,1,69,8.666666666666666,94,0,0
copilot.com / referral,04,3,2,1,1.6666666666666667,0.3333333333333333,12,0,0
ctc-g.co.jp / referral,04,3,0,1,24.666666666666668,1,14,0,0
grpportal.jrg.jregroup.ne.jp / referral,04,3,2,3,75.33333333333333,1.3333333333333333,46,0,0
login.microsoftonline.com / referral,04,3,2,2,6,1,20,0,0
mailtap.securemx.jp / referral,04,3,3,0,196.33333333333334,0.6666666666666666,16,0,0
nikkeixtech / external,04,3,3,1,567.3333333333334,1.3333333333333333,17,0,0
notepm.jp / referral,04,3,3,0,80.66666666666667,1,19,0,0
perplexity.ai / referral,04,3,2,1,23,2,23,0,0
prisma-cp.paprisma:6082 / referral,04,3,3,1,17.333333333333332,0.6666666666666666,13,0,0
yellowfin.co.jp / referral,04,3,3,3,259,1.6666666666666667,65,0,0
youtube.com / referral,04,3,0,2,122,1,51,0,0
ammic.co.jp / referral,04,2,1,0,43,1,6,0,0
bcore.biz / referral,04,2,2,0,15,1,11,0,0
bitool-navi.com / referral,04,2,2,0,10.5,0.5,7,0,0
cacoo.com / referral,04,2,0,1,4.5,1,8,0,0
claude.ai / referral,04,2,1,1,12,1,9,0,0
cmwchuoseiki.sharepoint.com / referral,04,2,0,2,89.5,1,16,0,0
copilot.com / (not set),04,2,1,0,118,0.5,10,0,0
csunnet.co.jp / referral,04,2,2,1,49,1,12,0,0
docs.google.com / referral,04,2,2,0,14.5,1,8,0,0
drsum.asia / referral,04,2,0,1,52.5,1,5,0,0
em.cybozu.co.jp / referral,04,2,0,2,25.5,1,11,0,0
hokoku.co.jp / referral,04,2,2,1,19.5,0.5,20,0,0
inshokuai.jp / referral,04,2,2,1,42.5,1.5,16,0,0
japan-it.jp / referral,04,2,0,2,122.5,2,31,0,0
liskul.com / referral,04,2,1,0,20.5,1,6,0,0
manage.ozo-cloud.jp / referral,04,2,2,1,38.5,1,14,0,0
mppcreator.jp / referral,04,2,2,0,0,0.5,6,0,0
okaya-system.co.jp / referral,04,2,1,0,8,0,8,0,0
one.nec.com / referral,04,2,0,2,83.5,1,12,0,0
patlite.co.jp / referral,04,2,2,1,61,1,27,0,0
perplexity / (not set),04,2,2,0,0,0,6,0,0
ph.search.yahoo.com / referral,04,2,0,0,57,2,7,0,0
redmine2.trithucmoi.co / referral,04,2,2,2,353.5,1.5,41,0,0
sfdc.smktg.jp / referral,04,2,2,0,0,0,7,0,0
sgnxxxb66capr01.ssks.jregroup.ne.jp / referral,04,2,2,2,84.5,1,24,0,0
shizutetsu.cybozu.com / referral,04,2,0,2,51,1,10,0,0
wingarc-nex.com / referral,04,2,0,1,18,1,6,0,0
wingarc.svy.ooo / referral,04,2,0,2,6,1,8,0,0
wingarc1st.atlassian.net / referral,04,2,0,2,56,1.5,23,0,0
zdh.co.jp / referral,04,2,1,1,19.5,1.5,10,0,0
128.1.1.9 / referral,04,1,0,0,40,1,5,0,0
172.16.100.175 / referral,04,1,0,1,166,3,17,0,0
192.168.1.116 / referral,04,1,0,1,9,1,5,0,0
192.168.201.59 / referral,04,1,0,1,16,1,2,0,0
35.75.82.237 / referral,04,1,0,1,1010,14,116,0,0
373news.com / referral,04,1,0,0,78,1,2,0,0
a.msip.securewg.jp / referral,04,1,1,0,199,1,4,0,0
a2is.com / referral,04,1,1,0,0,0,3,0,0
aircamp.us / referral,04,1,1,0,0,0,5,0,0
an / paid,04,1,0,0,0,0,2,0,0
appsecinfo-w-01 / referral,04,1,1,0,2,0,4,0,0
as-cp.com / referral,04,1,0,1,26,1,8,0,0
asahi-wf.jp / referral,04,1,0,1,1,0,3,0,0
ascii.jp / referral,04,1,1,1,50,1,8,0,0
bozuman.s.cybozu.com / referral,04,1,0,1,79,1,2,0,0
c109caad03144a3ea7d7101e54a2ac58.safeframe.googlesyndication.com / referral,04,1,1,0,2,0,4,0,0
canoninc.sharepoint.com / referral,04,1,1,1,24,1,16,0,0
chatluck.ad.kscom.co.jp / referral,04,1,0,1,24,1,8,0,0
commmuneapp.page.link / referral,04,1,0,1,10,1,2,0,0
cybozu.domain.local / referral,04,1,1,0,173,1,17,0,0
cybozu.inet114.local / referral,04,1,1,0,206,1,8,0,0
days.cybozu.co.jp / referral,04,1,0,0,0,0,4,0,0
director-scheduler.jp / referral,04,1,0,1,286,1,8,0,0
dol / external,04,1,0,0,44,1,3,0,0
duckduckgo / organic,04,1,1,0,66,1,4,0,0
dxnow / media,04,1,1,0,0,0,3,0,0
e3jr8zwxeo6m.cybozu.com / referral,04,1,0,0,26,1,2,0,0
engage-sj.marketo.com / referral,04,1,0,1,1,1,3,0,0
erp.dentsusoken.com / referral,04,1,0,1,8,0,3,0,0
eu.chat.pwc.com / referral,04,1,1,1,7,1,8,0,0
excel.officeapps.live.com / referral,04,1,0,1,9,1,3,0,0
fa2b8e9b2d80630e97ea1982e1053318.safeframe.googlesyndication.com / referral,04,1,1,1,21,1,7,0,0
ferret-plus.com / referral,04,1,0,1,16,1,3,0,0
firsthd.sharepoint.com / referral,04,1,0,1,9,1,5,0,0
frame-wx.com / referral,04,1,0,1,30,1,6,0,0
fujifilm.com / referral,04,1,1,0,12,1,4,0,0
fujifilm0.sharepoint.com / referral,04,1,0,1,5,1,4,0,0
garoon.g-hopper.ne.jp / referral,04,1,0,1,14,1,10,0,0
globalhonda.sharepoint.com / referral,04,1,1,0,8,0,4,0,0
goog[ / (not set),04,1,0,1,32,1,4,0,0
hiroshimagascojp0.sharepoint.com / referral,04,1,0,1,28,1,3,0,0
hitachi-solutions.co.jp / referral,04,1,0,0,160,1,4,0,0
inet-nw01.inet.local / referral,04,1,0,1,984,5,36,0,0
intra-mart.jp / referral,04,1,0,1,115,2,12,0,0
itmedia / external,04,1,1,0,2,0,4,0,0
jiji.com / referral,04,1,0,1,2,1,3,0,0
jpc-excel.officeapps.live.com / referral,04,1,0,1,0,1,5,0,0
jppanasonic.sharepoint.com / referral,04,1,1,0,8,0,4,0,0
kabutan.jp / referral,04,1,0,1,28,1,10,0,0
keydata.qast.jp / referral,04,1,0,1,16,3,7,0,0
kogi.cybozu.com / referral,04,1,0,1,65,1,3,0,0
leafsquare.co.jp / referral,04,1,0,1,177,1,14,0,0
leo-cm01.nttdata.com / referral,04,1,0,0,13,1,2,0,0
library.musubu.in / referral,04,1,1,0,43,1,7,0,0
logmi.jp / referral,04,1,0,1,80,6,39,0,0
majorflow.jpn.panasonic.com / referral,04,1,0,1,14,1,5,0,0
mds3371.maildealer.jp / referral,04,1,1,1,659,2,12,0,0
mieru-ka.jp / referral,04,1,1,1,0,0,5,0,0
mono.ipros.com / referral,04,1,1,0,44,1,6,0,0
nextgeeker.com / referral,04,1,1,1,0,0,5,0,0
niconsul.com / referral,04,1,0,1,92,1,12,0,0
nikkei.com / referral,04,1,1,0,8,1,4,0,0
nisseicom-23g7.movabletype.biz / referral,04,1,0,1,12,1,3,0,0
notebooklm.google.com / referral,04,1,1,0,41,1,4,0,0
peachjohn.freshservice.com / referral,04,1,1,0,4,0,4,0,0
profuture.co.jp / referral,04,1,1,0,220,1,15,0,0
rakus.co.jp / referral,04,1,1,0,3,0,4,0,0
rand.co.jp / referral,04,1,1,0,0,0,3,0,0
rfgricoh-my.sharepoint.com / referral,04,1,1,0,14,1,4,0,0
satas202012.cloudfree.jp / referral,04,1,0,0,95,1,3,0,0
sazankahenig.com / referral,04,1,1,0,4,1,5,0,0
scsk.jp / referral,04,1,1,0,19,1,4,0,0
search.fenrir-inc.com / referral,04,1,1,0,0,0,3,0,0
search.nifty.com / referral,04,1,1,0,30,1,4,0,0
sfjp.cybozu.com / referral,04,1,1,0,0,0,3,0,0
shikiho.toyokeizai.net / referral,04,1,0,0,19,1,3,0,0
sigma-crest.s.cybozu.com / referral,04,1,1,0,730,1,13,0,0
simulation.genetec.co.jp / referral,04,1,0,0,0,0,2,0,0
sites.google.com / referral,04,1,1,0,6,1,6,0,0
smartnews / banner,04,1,0,0,0,1,1,0,0
smartnews.com / referral,04,1,0,1,69,1,7,0,0
sns.kawamura.co.jp / referral,04,1,1,0,2,0,4,0,0
solution.ndisol.jp / referral,04,1,1,0,12,1,4,0,0
spool.cybozu.com / referral,04,1,0,1,0,0,4,0,0
sraw.co.jp / referral,04,1,0,1,0,1,1,0,0
svdn01ak.jcci.or.jp / referral,04,1,1,0,0,0,3,0,0
syukatsu-kaigi.jp / referral,04,1,0,1,0,1,3,0,0
takakigroup.s.cybozu.com / referral,04,1,1,1,76,2,10,0,0
talk.worksmobile.com / referral,04,1,1,0,14,1,4,0,0
td-qa27.enroll.qa.spa-cloud.com / referral,04,1,0,0,0,0,4,0,0
totec-sangyo.jp / referral,04,1,0,1,9,2,8,0,0
us.search.yahoo.com / referral,04,1,0,1,10,1,7,0,0
vmozgr02.internal.kiosk.co.jp / referral,04,1,1,0,8,1,4,0,0
w3.ibm.com / referral,04,1,0,1,7,1,2,0,0
wingarc1st.my.salesforce-sites.com / referral,04,1,0,1,92,2,8,0,0
wingarc1stmarketing.atlassian.net / referral,04,1,0,1,9,0,7,0,0
xc-times.com / referral,04,1,1,0,50,1,6,0,0
xtech / external,04,1,0,1,0,2,3,0,0
ysa / cpc,04,1,0,1,21,3,7,0,0
