# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20260401
# 終了日: 20260430
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
google / organic,04,4908,4016,1459,55.88297651215964,0.7676158802743712,26287,0,0
bing / cpc,04,2121,1796,543,49.97890699904123,0.7037392138063279,12148,0,0
(direct) / (none),04,1753,994,749,51.81898066783831,0.9062683069712947,11304,0,0
yahoo / cpc,04,1171,1027,185,34.434745030250646,0.6076058772687987,5892,0,0
bing / organic,04,829,572,354,66.68819875776397,0.9366459627329192,5100,0,0
google / cpc,04,821,599,309,64.37171464330413,0.9274092615769712,5635,0,0
Facebook / banner,04,727,457,189,3.006182380216383,0.5610510046367851,2610,0,0
yahoo / organic,04,603,543,107,60.5942760942761,0.7121212121212122,2888,0,0
WA / email,04,162,54,89,62.755102040816325,0.9183673469387755,936,0,0
wingarc.com / referral,04,110,91,27,31.626168224299064,0.6542056074766355,588,0,0
statics.teams.cdn.office.net / referral,04,38,20,21,121.17142857142858,1.3142857142857143,356,0,0
yahoo / banner,04,37,33,2,4.823529411764706,0.14705882352941177,195,0,0
hs_email / email,04,19,0,14,61.25,1.375,114,0,0
ydsa / cpc,04,18,0,17,125.17647058823529,1.588235294117647,170,0,0
WA / (not set),04,14,14,1,50,0.7142857142857143,66,0,0
chatgpt.com / referral,04,11,8,4,42.1,1.5,75,0,0
hitachigroup.okta.com / referral,04,11,8,4,59.18181818181818,1,73,0,0
WA / product_MB,04,10,0,9,26.444444444444443,1.2222222222222223,37,0,0
service.smt.docomo.ne.jp / referral,04,10,10,1,79,0.7,46,0,0
(data not available),04,9,4,5,75.33333333333333,1.1111111111111112,51,0,0
fa-products.jp / referral,04,9,8,1,130.66666666666666,0.8888888888888888,57,0,0
gemini.google.com / referral,04,9,5,3,45.111111111111114,1.1111111111111112,58,0,0
meta / banner,04,9,0,6,0,2.3333333333333335,58,0,0
oilesjp.sharepoint.com / referral,04,9,7,3,11.444444444444445,0.3333333333333333,37,0,0
facebook.com / referral,04,8,7,0,6.142857142857143,0.8571428571428571,29,0,0
prtimes.jp / referral,04,6,2,4,86.83333333333333,0.8333333333333334,51,0,0
search.portal.auone.jp / referral,04,6,6,0,46.833333333333336,0.8333333333333334,26,0,0
kcmail.konoike.co.jp / referral,04,5,5,1,118.2,0.6,28,0,0
m.facebook.com / referral,04,5,5,0,0,0,15,0,0
yahoo / (not set),04,5,5,0,0,0,15,0,0
bing / (not set),04,4,4,0,15.5,0.25,13,0,0
