# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20230401
# 終了日: 20240331
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
yahoo / cpc,03,649,398,203,62.00472440944882,0.9133858267716536,3357,0,0
yahoo / cpc,01,588,406,187,60.60485268630849,0.8526863084922011,3168,0,0
yahoo / cpc,02,549,377,202,76.35834896810506,0.8649155722326454,3094,0,0
bing / cpc,12,532,347,190,78.2476370510397,0.8733459357277883,2887,0,0
bing / cpc,01,482,292,160,65.45243128964059,0.9323467230443975,2635,0,0
bing / cpc,11,475,377,161,85.09766454352442,0.8492569002123143,2908,0,0
bing / cpc,10,304,256,88,85.83552631578948,0.9342105263157895,2000,0,0
WA / email,04,295,121,169,77.13380281690141,0.6443661971830986,1574,0,0
WA / email,08,234,120,105,69.86842105263158,0.6096491228070176,1256,0,0
WA / email,07,214,116,98,63.8252427184466,0.6893203883495146,1187,0,0
WA / email,01,197,83,96,102.51595744680851,0.9468085106382979,1093,0,0
WA / email,02,192,82,97,105.97311827956989,0.9193548387096774,1075,0,0
WA / email,09,181,96,95,80.40462427745665,0.7687861271676301,958,0,0
WA / email,05,178,41,108,79.58579881656804,0.5680473372781065,902,0,0
yrmk / display,08,176,165,14,12.994186046511627,0.18604651162790697,638,0,0
WA / email,06,175,54,114,84.53374233128834,0.7361963190184049,1074,1,0.006134969325153374
survey-z.com / referral,12,157,157,4,26.853503184713375,0.7388535031847133,757,0,0
WA / email,12,154,64,79,114.5503355704698,0.9798657718120806,823,0,0
yrmk / display,03,143,135,4,3.964028776978417,0.11510791366906475,486,0,0
yrmk / display,06,143,134,11,6.75177304964539,0.1773049645390071,495,4,0.028368794326241134
WA / email,10,137,64,72,59.39230769230769,0.7846153846153846,695,0,0
WA / email,03,132,53,64,65.35772357723577,0.8861788617886179,671,0,0
WA / email,11,131,56,79,97.65040650406505,0.975609756097561,765,0,0
yrmk / display,07,130,119,14,9.062015503875969,0.14728682170542637,472,0,0
yrmk / display,09,125,115,11,16.049586776859503,0.19834710743801653,435,0,0
visitor.it-week.rxmesse.jp / referral,06,117,86,25,47.21367521367522,0.6239316239316239,596,2,0.008547008547008548
ydn / display,07,105,96,15,27.626262626262626,0.32323232323232326,503,0,0
